time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-10-22 09:30:00-04:00,MLTrader,259c422866064f92a07f695ac997add2,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2024-10-22 09:30:00-04:00,MLTrader,259c422866064f92a07f695ac997add2,SPY,sell,market,fill,1,gtc,0.0,1,stock,581.0499877929688,86.0,0.0
