datetime,portfolio_value,cash,positions,return
2024-10-11 08:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",
2024-10-11 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2024-10-11 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2024-10-12 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2024-10-12 09:29:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2024-10-14 08:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2024-10-14 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2024-10-14 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2024-10-15 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2024-10-16 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2024-10-17 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2024-10-18 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2024-10-19 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2024-10-19 09:29:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2024-10-21 08:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2024-10-21 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2024-10-21 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2024-10-22 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",0.0
2024-10-23 09:30:00-04:00,99981.93811035156,149970.2989501953,"[{'asset': USD, 'quantity': 149970.2989501953}, {'asset': SPY, 'quantity': -86.0}]",-0.00018061889648435248
2024-10-24 09:30:00-04:00,100092.02062988281,149970.2989501953,"[{'asset': USD, 'quantity': 149970.2989501953}, {'asset': SPY, 'quantity': -86.0}]",0.0011010240610633826
2024-10-25 09:30:00-04:00,99960.43811035156,149970.2989501953,"[{'asset': USD, 'quantity': 149970.2989501953}, {'asset': SPY, 'quantity': -86.0}]",-0.0013146154778692631
2024-10-26 09:30:00-04:00,99960.43811035156,149970.2989501953,"[{'asset': USD, 'quantity': 149970.2989501953}, {'asset': SPY, 'quantity': -86.0}]",0.0
2024-10-26 09:29:00-04:00,99960.43811035156,149970.2989501953,"[{'asset': USD, 'quantity': 149970.2989501953}, {'asset': SPY, 'quantity': -86.0}]",0.0
2024-10-28 08:30:00-04:00,99868.41748046875,149970.2989501953,"[{'asset': USD, 'quantity': 149970.2989501953}, {'asset': SPY, 'quantity': -86.0}]",-0.0009205704939110326
2024-10-28 09:30:00-04:00,99868.41748046875,149970.2989501953,"[{'asset': USD, 'quantity': 149970.2989501953}, {'asset': SPY, 'quantity': -86.0}]",0.0
2024-10-28 09:30:00-04:00,99868.41748046875,149970.2989501953,"[{'asset': USD, 'quantity': 149970.2989501953}, {'asset': SPY, 'quantity': -86.0}]",0.0
2024-10-29 09:30:00-04:00,100103.20104980469,149970.2989501953,"[{'asset': USD, 'quantity': 149970.2989501953}, {'asset': SPY, 'quantity': -86.0}]",0.002350929105108257
2024-10-30 09:30:00-04:00,99979.36083984375,149970.2989501953,"[{'asset': USD, 'quantity': 149970.2989501953}, {'asset': SPY, 'quantity': -86.0}]",-0.001237125373236836
2024-10-31 09:30:00-04:00,100472.13916015625,149970.2989501953,"[{'asset': USD, 'quantity': 149970.2989501953}, {'asset': SPY, 'quantity': -86.0}]",0.004928800466146965
2024-11-01 09:30:00-04:00,100836.7783203125,149970.2989501953,"[{'asset': USD, 'quantity': 149970.2989501953}, {'asset': SPY, 'quantity': -86.0}]",0.003629256460589536
2024-11-02 09:30:00-04:00,100836.7783203125,149970.2989501953,"[{'asset': USD, 'quantity': 149970.2989501953}, {'asset': SPY, 'quantity': -86.0}]",0.0
2024-11-02 09:29:00-04:00,100836.7783203125,149970.2989501953,"[{'asset': USD, 'quantity': 149970.2989501953}, {'asset': SPY, 'quantity': -86.0}]",0.0
2024-11-04 08:30:00-05:00,100848.81958007812,149970.2989501953,"[{'asset': USD, 'quantity': 149970.2989501953}, {'asset': SPY, 'quantity': -86.0}]",0.00011941337244403272
2024-11-04 09:30:00-05:00,100848.81958007812,149970.2989501953,"[{'asset': USD, 'quantity': 149970.2989501953}, {'asset': SPY, 'quantity': -86.0}]",0.0
2024-11-04 09:30:00-05:00,100848.81958007812,149970.2989501953,"[{'asset': USD, 'quantity': 149970.2989501953}, {'asset': SPY, 'quantity': -86.0}]",0.0
2024-11-05 09:30:00-05:00,100944.30010986328,224794.87799072266,"[{'asset': USD, 'quantity': 224794.87799072266}, {'asset': SPY, 'quantity': -217.0}]",0.000946768937730047
2024-11-06 09:30:00-05:00,96938.47534179688,224794.87799072266,"[{'asset': USD, 'quantity': 224794.87799072266}, {'asset': SPY, 'quantity': -217.0}]",-0.03968351619364985
2024-11-07 09:30:00-05:00,96096.51428222656,224794.87799072266,"[{'asset': USD, 'quantity': 224794.87799072266}, {'asset': SPY, 'quantity': -217.0}]",-0.008685519930054952
2024-11-08 09:30:00-05:00,95425.99169921875,224794.87799072266,"[{'asset': USD, 'quantity': 224794.87799072266}, {'asset': SPY, 'quantity': -217.0}]",-0.006977595264678893
2024-11-09 09:30:00-05:00,95425.99169921875,224794.87799072266,"[{'asset': USD, 'quantity': 224794.87799072266}, {'asset': SPY, 'quantity': -217.0}]",0.0
2024-11-09 09:29:00-05:00,95425.99169921875,224794.87799072266,"[{'asset': USD, 'quantity': 224794.87799072266}, {'asset': SPY, 'quantity': -217.0}]",0.0
2024-11-11 08:30:00-05:00,94636.10852050781,224794.87799072266,"[{'asset': USD, 'quantity': 224794.87799072266}, {'asset': SPY, 'quantity': -217.0}]",-0.008277442703457982
2024-11-11 09:30:00-05:00,94636.10852050781,224794.87799072266,"[{'asset': USD, 'quantity': 224794.87799072266}, {'asset': SPY, 'quantity': -217.0}]",0.0
